"uri_hls";"name";"definition";"birthdate";"new_uri_wikidata";"gv_uri_wikidata";"new_uri_idref";"gv_uri_idref";"new_uri_viaf";"gv_uri_viaf"
"https://hls-dhs-dss.ch/articles/016022";"Albert Béguin";"Swiss French scholar and literary critic (1901-1957)";"(1901, 7, 17)";"http://www.wikidata.org/entity/Q124251";"http://www.wikidata.org/entity/Q124251";"http://www.idref.fr/026714590/id";"";"http://viaf.org/viaf/100195090";"http://viaf.org/viaf/100195090"
"https://hls-dhs-dss.ch/articles/016096";"Ferdinand Kübler";"Swiss racing cyclist";"(1919, 7, 24)";"http://www.wikidata.org/entity/Q458713";"http://www.wikidata.org/entity/Q458713";"http://www.idref.fr/242969917/id";"";"http://viaf.org/viaf/40173398";"http://viaf.org/viaf/40173398"
"https://hls-dhs-dss.ch/articles/044031";"Charles Émile Egli";"French painter (1877-1937)";"(1877, 3, 30)";"http://www.wikidata.org/entity/Q2960761";"http://www.wikidata.org/entity/Q2960761";"";"";"";"http://viaf.org/viaf/2480147967351084200003"
"https://hls-dhs-dss.ch/articles/015794";"Josias Simmler";"Swiss theologian";"(1530, 11, 16)";"http://www.wikidata.org/entity/Q116008";"http://www.wikidata.org/entity/Q116008";"http://www.idref.fr/085848034/id";"http://www.idref.fr/085848034/id";"http://viaf.org/viaf/98217692";"http://viaf.org/viaf/98217692"
"https://hls-dhs-dss.ch/articles/026102";"Pierre Prevost";"Swiss physicist (1751-1839)";"(1751, 3, 3)";"http://www.wikidata.org/entity/Q116291";"http://wikidata.org/entity/Q116291";"http://www.idref.fr/032124058/id";"http://www.idref.fr/032124058/id";"http://viaf.org/viaf/61615912";""
"https://hls-dhs-dss.ch/articles/020554";"Paul Burkhard";"Swiss composer (1911-1977)";"(1911, 12, 21)";"http://www.wikidata.org/entity/Q116397";"http://www.wikidata.org/entity/Q116397";"http://www.idref.fr/079984576/id";"";"http://viaf.org/viaf/116634712";"http://viaf.org/viaf/116634712"
"https://hls-dhs-dss.ch/articles/014670";"Théodore Tronchin";"Genevan physician";"(1709, 5, 24)";"http://www.wikidata.org/entity/Q116710";"http://wikidata.org/entity/Q116710";"http://www.idref.fr/123445345/id";"http://www.idref.fr/123445345/id";"http://viaf.org/viaf/52000852";""
"https://hls-dhs-dss.ch/articles/014292";"Otto Binswanger";"Swiss psychiatrist (1852-1929)";"(1852, 10, 14)";"http://www.wikidata.org/entity/Q116953";"http://www.wikidata.org/entity/Q116953";"http://www.idref.fr/083201939/id";"";"http://viaf.org/viaf/41957159";"http://viaf.org/viaf/41957159"
"https://hls-dhs-dss.ch/articles/012316";"Albert Steffen";"Swiss writer (1884-1963)";"(1884, 12, 10)";"http://www.wikidata.org/entity/Q117177";"http://www.wikidata.org/entity/Q117177";"http://www.idref.fr/087840588/id";"";"http://viaf.org/viaf/30329695";"http://viaf.org/viaf/30329695"
"https://hls-dhs-dss.ch/articles/009239";"Franz Schnyder";"Swiss film director, screenwriter (1910-1993)";"(1910, 3, 5)";"http://www.wikidata.org/entity/Q117529";"http://www.wikidata.org/entity/Q117529";"";"";"http://viaf.org/viaf/223969964";"http://viaf.org/viaf/223969964"
"https://hls-dhs-dss.ch/articles/014444";"Edmund Landolt";"Swiss ophthalmologist (1846-1926)";"(1846, 5, 17)";"http://www.wikidata.org/entity/Q117569";"http://www.wikidata.org/entity/Q117569";"http://www.idref.fr/069791554/id";"";"http://viaf.org/viaf/92750020";"http://viaf.org/viaf/92750020"
"https://hls-dhs-dss.ch/articles/008046";"Charles Oser";"Swiss jurist (1902-1994)";"(1902, 2, 17)";"http://www.wikidata.org/entity/Q117751";"http://www.wikidata.org/entity/Q117751";"http://www.idref.fr/079433030/id";"";"http://viaf.org/viaf/65023264";"http://viaf.org/viaf/65023264"
"https://hls-dhs-dss.ch/articles/003771";"Augustin Keller";"Swiss politician (1805-1883)";"(1805, 11, 10)";"http://www.wikidata.org/entity/Q117999";"http://www.wikidata.org/entity/Q117999";"http://www.idref.fr/13953816X/id";"";"http://viaf.org/viaf/15564360";"http://viaf.org/viaf/15564360"
"https://hls-dhs-dss.ch/articles/011700";"Max Wehrli";"Swiss literary scholar and Germanist (1909-1998)";"(1909, 9, 17)";"http://www.wikidata.org/entity/Q120454";"http://www.wikidata.org/entity/Q120454";"http://www.idref.fr/03374503X/id";"";"http://viaf.org/viaf/44395474";"http://viaf.org/viaf/44395474"
"https://hls-dhs-dss.ch/articles/003324";"Sigmund Widmer";"Swiss politician (1919–2003)";"(1919, 7, 30)";"http://www.wikidata.org/entity/Q120794";"http://www.wikidata.org/entity/Q120794";"http://www.idref.fr/078855977/id";"";"http://viaf.org/viaf/77090923";"http://viaf.org/viaf/77090923"
"https://hls-dhs-dss.ch/articles/009127";"Richard Angst";"Swiss cinematographer (1905-1984)";"(1905, 7, 23)";"http://www.wikidata.org/entity/Q121175";"http://www.wikidata.org/entity/Q121175";"http://www.idref.fr/124576214/id";"";"http://viaf.org/viaf/58889698";"http://viaf.org/viaf/58889698"
"https://hls-dhs-dss.ch/articles/007233";"Frédéric Soret";"Swiss numismatist (1795-1865)";"(1795, 5, 12)";"http://www.wikidata.org/entity/Q121409";"";"http://www.idref.fr/057087199/id";"http://www.idref.fr/057087199/id";"http://viaf.org/viaf/10638742";""
"https://hls-dhs-dss.ch/articles/011322";"Frère Roger";"Swiss monk";"(1915, 5, 12)";"http://www.wikidata.org/entity/Q123134";"http://www.wikidata.org/entity/Q123134";"http://www.idref.fr/028696034/id";"";"http://viaf.org/viaf/95222333";"http://viaf.org/viaf/95222333"
